x,y,density,2,3,4,5,6,7,8,9,10
-4.63156,-0.395943,0.0163759,-0.0071373,-0.05202269,-0.00937989,0.02267367,0.00818788,0.10528039,0.02979787,0.00633891,-0.04588562
-4.63156,0.0,0.01716166,0.0,-0.05451888,-0.01213512,0.0,0.0,0.11033203,0.03855067,0.01050932,-0.0
-4.63156,0.395943,0.0163759,0.0071373,-0.05202269,-0.00937989,-0.02267367,-0.00818788,0.10528039,0.02979787,0.00633891,0.04588562
-4.63156,0.792877,0.01422142,0.0124121,-0.04517838,-0.00239599,-0.03943057,-0.01134177,0.09142928,0.00761154,-0.00287442,0.07979722
-4.63156,1.191827,0.01122437,0.01472556,-0.03565739,0.00572368,-0.04677991,-0.00768802,0.07216127,-0.01818288,-0.00999991,0.09467037
-4.63156,1.593886,0.00803167,0.01409158,-0.02551487,0.01180305,-0.0447659,0.00045032,0.05163546,-0.03749574,-0.0098267,0.09059453
-4.63156,2.000259,0.00519171,0.01143123,-0.01649293,0.01412648,-0.03631455,0.00862437,0.0333774,-0.04487678,-0.00273922,0.0734912
-4.63156,2.412318,0.00301649,0.00801001,-0.00958273,0.01290706,-0.02544606,0.01324768,0.01939296,-0.04100295,0.00641115,0.05149621
-4.63156,2.831681,0.00156474,0.00487734,-0.00497084,0.00964357,-0.01549424,0.0133724,0.01005968,-0.03063552,0.01248952,0.03135631
-4.63156,3.260321,0.0007181,0.00257716,-0.00228125,0.00603232,-0.00818709,0.01039491,0.00461665,-0.01916337,0.01342881,0.01656853
-4.63156,3.700743,0.000288,0.00117322,-0.00091492,0.00317584,-0.00372707,0.00651143,0.00185155,-0.01008895,0.01051234,0.00754262
-4.63156,4.156272,9.924e-05,0.00045405,-0.00031528,0.00139872,-0.00144243,0.0033239,0.00063804,-0.00444343,0.00639225,0.00291909
-4.63156,4.63156,2.868e-05,0.00014623,-9.111e-05,0.00050687,-0.00046453,0.00137257,0.00018439,-0.0016102,0.00305991,0.00094008
-4.63156,5.133596,6.7e-06,3.787e-05,-2.129e-05,0.0001466,-0.00012032,0.00044737,4.309e-05,-0.00046572,0.00113706,0.0002435
-4.63156,5.673962,1.19e-06,7.45e-06,-3.79e-06,3.207e-05,-2.367e-05,0.00010955,7.67e-06,-0.00010187,0.00031434,4.791e-05
