x,y,density
4.156272,-2.000259,4.672e-06
4.156272,-1.593886,5.373e-06
4.156272,-1.191827,4.633e-06
4.156272,-0.792877,2.749e-06
4.156272,-0.395943,8.12e-07
4.156272,0.0,0.0
4.156272,0.395943,8.12e-07
4.156272,0.792877,2.749e-06
4.156272,1.191827,4.633e-06
4.156272,1.593886,5.373e-06
4.156272,2.000259,4.672e-06
4.156272,2.412318,3.113e-06
4.156272,2.831681,1.582e-06
4.156272,3.260321,6.01e-07
4.156272,3.700743,1.65e-07
4.156272,4.156272,3.1e-08
4.156272,4.63156,4e-09
4.156272,5.133596,0.0
4.156272,5.673962,0.0
4.156272,6.275079,0.0
4.156272,6.99568,0.0
4.63156,-6.99568,0.0
4.63156,-6.275079,0.0
4.63156,-5.673962,0.0
4.63156,-5.133596,0.0
4.63156,-4.63156,0.0
4.63156,-4.156272,1e-09
4.63156,-3.700743,8e-09
4.63156,-3.260321,2.9e-08
4.63156,-2.831681,7.7e-08
4.63156,-2.412318,1.54e-07
4.63156,-2.000259,2.36e-07
4.63156,-1.593886,2.78e-07
4.63156,-1.191827,2.44e-07
4.63156,-0.792877,1.47e-07
4.63156,-0.395943,4.4e-08
4.63156,0.0,0.0
4.63156,0.395943,4.4e-08
4.63156,0.792877,1.47e-07
4.63156,1.191827,2.44e-07
4.63156,1.593886,2.78e-07
4.63156,2.000259,2.36e-07
4.63156,2.412318,1.54e-07
4.63156,2.831681,7.7e-08
4.63156,3.260321,2.9e-08
4.63156,3.700743,8e-09
4.63156,4.156272,1e-09
4.63156,4.63156,0.0
4.63156,5.133596,0.0
4.63156,5.673962,0.0
